value,year,age,sex
622,1886,3,M
787,1887,3,M
904,1888,3,M
856,1889,3,M
819,1890,3,M
797,1891,3,M
794,1892,3,M
882,1893,3,M
822,1894,3,M
988,1895,3,M
991,1896,3,M
1006,1897,3,M
938,1898,3,M
968,1899,3,M
1032,1900,3,M
996,1901,3,M
946,1902,3,M
952,1903,3,M
957,1904,3,M
907,1905,3,M
932,1906,3,M
1012,1907,3,M
1057,1908,3,M
1001,1909,3,M
1050,1910,3,M
954,1911,3,M
988,1912,3,M
1008,1913,3,M
1016,1914,3,M
984,1915,3,M
1035,1916,3,M
1020,1917,3,M
1042,1918,3,M
1108,1919,3,M
1128,1920,3,M
1162,1921,3,M
1118,1922,3,M
1044,1923,3,M
1235,1924,3,M
1220,1925,3,M
1169,1926,3,M
1239,1927,3,M
1234,1928,3,M
1235,1929,3,M
1244,1930,3,M
1285,1931,3,M
1268,1932,3,M
1255,1933,3,M
1324,1934,3,M
1383,1935,3,M
1308,1936,3,M
1208,1937,3,M
1214,1938,3,M
1194,1939,3,M
1182,1940,3,M
1222,1941,3,M
1182,1942,3,M
1143,1943,3,M
1152,1944,3,M
1242,1945,3,M
1453,1946,3,M
1506,1947,3,M
1588,1948,3,M
1729,1949,3,M
1728,1950,3,M
1867,1951,3,M
1853,1952,3,M
1924,1953,3,M
2092,1954,3,M
1939,1955,3,M
2082,1956,3,M
2158,1957,3,M
2186,1958,3,M
2214,1959,3,M
2323,1960,3,M
2399,1961,3,M
2290,1962,3,M
2459,1963,3,M
2477,1964,3,M
2306,1965,3,M
2370,1966,3,M
2432,1967,3,M
2337,1968,3,M
2405,1969,3,M
2317,1970,3,M
2167,1971,3,M
2118,1972,3,M
2075,1973,3,M
1995,1974,3,M
2172,1975,3,M
2304,1976,3,M
2313,1977,3,M
2095,1978,3,M
2083,1979,3,M
2160,1980,3,M
1968,1981,3,M
2056,1982,3,M
2277,1983,3,M
2300,1984,3,M
2261,1985,3,M
2244,1986,3,M
2162,1987,3,M
2096,1988,3,M
1893,1989,3,M
1987,1990,3,M
2184,1991,3,M
2389,1992,3,M
2267,1993,3,M
2453,1994,3,M
2362,1995,3,M
2359,1996,3,M
2286,1997,3,M
2283,1998,3,M
2204,1999,3,M
2260,2000,3,M
2196,2001,3,M
2175,2002,3,M
2048,2003,3,M
2210,2004,3,M
2103,2005,3,M
2076,2006,3,M
2140,2007,3,M
2226,2008,3,M
2275,2009,3,M
2309,2010,3,M
2377,2011,3,M
2418,2012,3,M
2490,2013,3,M
2499,2014,3,M
2324,2015,3,M
2319,2016,3,M
2156,2017,3,M
2256,2018,3,M
2180,2019,3,M
668,1841,4,M
607,1842,4,M
566,1843,4,M
563,1844,4,M
655,1845,4,M
696,1846,4,M
705,1847,4,M
625,1848,4,M
632,1849,4,M
640,1850,4,M
481,1851,4,M
531,1852,4,M
628,1853,4,M
764,1854,4,M
655,1855,4,M
867,1856,4,M
891,1857,4,M
905,1858,4,M
919,1859,4,M
832,1860,4,M
776,1861,4,M
853,1862,4,M
794,1863,4,M
742,1864,4,M
695,1865,4,M
696,1866,4,M
879,1867,4,M
855,1868,4,M
925,1869,4,M
966,1870,4,M
854,1871,4,M
874,1872,4,M
715,1873,4,M
683,1874,4,M
702,1875,4,M
628,1876,4,M
681,1877,4,M
814,1878,4,M
768,1879,4,M
797,1880,4,M
816,1881,4,M
814,1882,4,M
836,1883,4,M
781,1884,4,M
646,1885,4,M
614,1886,4,M
601,1887,4,M
771,1888,4,M
876,1889,4,M
840,1890,4,M
807,1891,4,M
784,1892,4,M
789,1893,4,M
869,1894,4,M
813,1895,4,M
985,1896,4,M
983,1897,4,M
996,1898,4,M
936,1899,4,M
963,1900,4,M
1023,1901,4,M
988,1902,4,M
940,1903,4,M
939,1904,4,M
942,1905,4,M
901,1906,4,M
931,1907,4,M
1006,1908,4,M
1056,1909,4,M
994,1910,4,M
1044,1911,4,M
950,1912,4,M
981,1913,4,M
1005,1914,4,M
1014,1915,4,M
982,1916,4,M
1028,1917,4,M
1028,1918,4,M
1042,1919,4,M
1102,1920,4,M
1130,1921,4,M
1147,1922,4,M
1109,1923,4,M
1042,1924,4,M
1227,1925,4,M
1217,1926,4,M
1169,1927,4,M
1238,1928,4,M
1233,1929,4,M
1231,1930,4,M
1248,1931,4,M
1279,1932,4,M
1263,1933,4,M
1261,1934,4,M
1324,1935,4,M
1379,1936,4,M
1303,1937,4,M
1201,1938,4,M
1212,1939,4,M
1195,1940,4,M
1177,1941,4,M
1219,1942,4,M
1179,1943,4,M
1138,1944,4,M
1151,1945,4,M
1239,1946,4,M
1451,1947,4,M
1501,1948,4,M
1587,1949,4,M
1725,1950,4,M
1727,1951,4,M
1863,1952,4,M
1849,1953,4,M
1926,1954,4,M
2093,1955,4,M
1938,1956,4,M
2079,1957,4,M
2158,1958,4,M
2182,1959,4,M
2213,1960,4,M
2310,1961,4,M
2400,1962,4,M
2287,1963,4,M
2460,1964,4,M
2467,1965,4,M
2298,1966,4,M
2366,1967,4,M
2434,1968,4,M
2316,1969,4,M
2354,1970,4,M
2282,1971,4,M
2157,1972,4,M
2125,1973,4,M
2071,1974,4,M
1996,1975,4,M
2166,1976,4,M
2291,1977,4,M
2291,1978,4,M
2081,1979,4,M
2077,1980,4,M
2139,1981,4,M
1976,1982,4,M
2064,1983,4,M
2271,1984,4,M
2304,1985,4,M
2247,1986,4,M
2235,1987,4,M
2166,1988,4,M
2108,1989,4,M
1884,1990,4,M
1968,1991,4,M
2204,1992,4,M
2399,1993,4,M
2278,1994,4,M
2435,1995,4,M
2345,1996,4,M
2348,1997,4,M
2273,1998,4,M
2287,1999,4,M
2214,2000,4,M
2265,2001,4,M
2193,2002,4,M
2178,2003,4,M
2070,2004,4,M
2199,2005,4,M
2115,2006,4,M
2072,2007,4,M
2155,2008,4,M
2249,2009,4,M
2256,2010,4,M
2272,2011,4,M
2365,2012,4,M
2419,2013,4,M
2503,2014,4,M
2499,2015,4,M
2299,2016,4,M
2313,2017,4,M
2193,2018,4,M
2286,2019,4,M
652,1841,5,M
665,1842,5,M
604,1843,5,M
561,1844,5,M
560,1845,5,M
655,1846,5,M
695,1847,5,M
701,1848,5,M
621,1849,5,M
621,1850,5,M
628,1851,5,M
476,1852,5,M
530,1853,5,M
627,1854,5,M
764,1855,5,M
650,1856,5,M
849,1857,5,M
875,1858,5,M
879,1859,5,M
900,1860,5,M
797,1861,5,M
748,1862,5,M
841,1863,5,M
785,1864,5,M
736,1865,5,M
680,1866,5,M
682,1867,5,M
870,1868,5,M
848,1869,5,M
915,1870,5,M
959,1871,5,M
846,1872,5,M
858,1873,5,M
707,1874,5,M
673,1875,5,M
688,1876,5,M
615,1877,5,M
675,1878,5,M
806,1879,5,M
758,1880,5,M
789,1881,5,M
803,1882,5,M
789,1883,5,M
799,1884,5,M
772,1885,5,M
639,1886,5,M
609,1887,5,M
594,1888,5,M
768,1889,5,M
865,1890,5,M
832,1891,5,M
799,1892,5,M
779,1893,5,M
784,1894,5,M
865,1895,5,M
812,1896,5,M
978,1897,5,M
980,1898,5,M
989,1899,5,M
933,1900,5,M
960,1901,5,M
1020,1902,5,M
985,1903,5,M
933,1904,5,M
932,1905,5,M
936,1906,5,M
901,1907,5,M
930,1908,5,M
1009,1909,5,M
1057,1910,5,M
994,1911,5,M
1039,1912,5,M
946,1913,5,M
976,1914,5,M
1005,1915,5,M
1010,1916,5,M
977,1917,5,M
1041,1918,5,M
1027,1919,5,M
1037,1920,5,M
1103,1921,5,M
1122,1922,5,M
1139,1923,5,M
1106,1924,5,M
1041,1925,5,M
1230,1926,5,M
1213,1927,5,M
1164,1928,5,M
1237,1929,5,M
1229,1930,5,M
1224,1931,5,M
1244,1932,5,M
1274,1933,5,M
1263,1934,5,M
1260,1935,5,M
1323,1936,5,M
1373,1937,5,M
1294,1938,5,M
1197,1939,5,M
1211,1940,5,M
1191,1941,5,M
1175,1942,5,M
1216,1943,5,M
1170,1944,5,M
1137,1945,5,M
1152,1946,5,M
1236,1947,5,M
1450,1948,5,M
1501,1949,5,M
1583,1950,5,M
1724,1951,5,M
1727,1952,5,M
1859,1953,5,M
1846,1954,5,M
1928,1955,5,M
2092,1956,5,M
1936,1957,5,M
2078,1958,5,M
2157,1959,5,M
2181,1960,5,M
2205,1961,5,M
2313,1962,5,M
2397,1963,5,M
2279,1964,5,M
2459,1965,5,M
2434,1966,5,M
2297,1967,5,M
2373,1968,5,M
2422,1969,5,M
2310,1970,5,M
2370,1971,5,M
2289,1972,5,M
2159,1973,5,M
2125,1974,5,M
2071,1975,5,M
1988,1976,5,M
2152,1977,5,M
2267,1978,5,M
2288,1979,5,M
2070,1980,5,M
2079,1981,5,M
2139,1982,5,M
1975,1983,5,M
2058,1984,5,M
2269,1985,5,M
2293,1986,5,M
2237,1987,5,M
2251,1988,5,M
2170,1989,5,M
2087,1990,5,M
1870,1991,5,M
1985,1992,5,M
2218,1993,5,M
2404,1994,5,M
2267,1995,5,M
2411,1996,5,M
2326,1997,5,M
2338,1998,5,M
2288,1999,5,M
2295,2000,5,M
2224,2001,5,M
2269,2002,5,M
2171,2003,5,M
2176,2004,5,M
2070,2005,5,M
2190,2006,5,M
2129,2007,5,M
2092,2008,5,M
2162,2009,5,M
2218,2010,5,M
2230,2011,5,M
2270,2012,5,M
2350,2013,5,M
2436,2014,5,M
2513,2015,5,M
2485,2016,5,M
2330,2017,5,M
2345,2018,5,M
2198,2019,5,M
673,1841,6,M
649,1842,6,M
662,1843,6,M
601,1844,6,M
559,1845,6,M
559,1846,6,M
652,1847,6,M
691,1848,6,M
699,1849,6,M
613,1850,6,M
614,1851,6,M
617,1852,6,M
475,1853,6,M
530,1854,6,M
626,1855,6,M
761,1856,6,M
649,1857,6,M
835,1858,6,M
859,1859,6,M
861,1860,6,M
878,1861,6,M
780,1862,6,M
741,1863,6,M
836,1864,6,M
780,1865,6,M
728,1866,6,M
671,1867,6,M
676,1868,6,M
866,1869,6,M
842,1870,6,M
910,1871,6,M
953,1872,6,M
837,1873,6,M
851,1874,6,M
699,1875,6,M
665,1876,6,M
678,1877,6,M
611,1878,6,M
670,1879,6,M
800,1880,6,M
752,1881,6,M
782,1882,6,M
788,1883,6,M
768,1884,6,M
793,1885,6,M
767,1886,6,M
635,1887,6,M
596,1888,6,M
591,1889,6,M
761,1890,6,M
859,1891,6,M
830,1892,6,M
795,1893,6,M
770,1894,6,M
780,1895,6,M
863,1896,6,M
808,1897,6,M
975,1898,6,M
973,1899,6,M
984,1900,6,M
930,1901,6,M
954,1902,6,M
1018,1903,6,M
970,1904,6,M
929,1905,6,M
927,1906,6,M
935,1907,6,M
899,1908,6,M
934,1909,6,M
1007,1910,6,M
1056,1911,6,M
990,1912,6,M
1035,1913,6,M
943,1914,6,M
974,1915,6,M
1002,1916,6,M
1007,1917,6,M
986,1918,6,M
1041,1919,6,M
1021,1920,6,M
1046,1921,6,M
1091,1922,6,M
1118,1923,6,M
1137,1924,6,M
1105,1925,6,M
1043,1926,6,M
1227,1927,6,M
1209,1928,6,M
1162,1929,6,M
1235,1930,6,M
1233,1931,6,M
1221,1932,6,M
1242,1933,6,M
1273,1934,6,M
1262,1935,6,M
1259,1936,6,M
1323,1937,6,M
1369,1938,6,M
1291,1939,6,M
1192,1940,6,M
1210,1941,6,M
1190,1942,6,M
1173,1943,6,M
1214,1944,6,M
1167,1945,6,M
1141,1946,6,M
1153,1947,6,M
1235,1948,6,M
1449,1949,6,M
1484,1950,6,M
1582,1951,6,M
1721,1952,6,M
1726,1953,6,M
1856,1954,6,M
1846,1955,6,M
1927,1956,6,M
2091,1957,6,M
1936,1958,6,M
2077,1959,6,M
2156,1960,6,M
2179,1961,6,M
2210,1962,6,M
2309,1963,6,M
2392,1964,6,M
2278,1965,6,M
2444,1966,6,M
2432,1967,6,M
2298,1968,6,M
2351,1969,6,M
2399,1970,6,M
2299,1971,6,M
2357,1972,6,M
2297,1973,6,M
2156,1974,6,M
2131,1975,6,M
2068,1976,6,M
1983,1977,6,M
2133,1978,6,M
2270,1979,6,M
2282,1980,6,M
2068,1981,6,M
2083,1982,6,M
2147,1983,6,M
1981,1984,6,M
2057,1985,6,M
2264,1986,6,M
2290,1987,6,M
2242,1988,6,M
2260,1989,6,M
2150,1990,6,M
2075,1991,6,M
1883,1992,6,M
1994,1993,6,M
2222,1994,6,M
2408,1995,6,M
2262,1996,6,M
2400,1997,6,M
2307,1998,6,M
2340,1999,6,M
2296,2000,6,M
2292,2001,6,M
2226,2002,6,M
2280,2003,6,M
2181,2004,6,M
2158,2005,6,M
2074,2006,6,M
2201,2007,6,M
2158,2008,6,M
2111,2009,6,M
2159,2010,6,M
2213,2011,6,M
2236,2012,6,M
2273,2013,6,M
2356,2014,6,M
2438,2015,6,M
2512,2016,6,M
2487,2017,6,M
2367,2018,6,M
2351,2019,6,M
695,1841,7,M
669,1842,7,M
647,1843,7,M
659,1844,7,M
598,1845,7,M
558,1846,7,M
556,1847,7,M
650,1848,7,M
689,1849,7,M
689,1850,7,M
604,1851,7,M
601,1852,7,M
613,1853,7,M
474,1854,7,M
529,1855,7,M
623,1856,7,M
760,1857,7,M
646,1858,7,M
821,1859,7,M
841,1860,7,M
836,1861,7,M
858,1862,7,M
772,1863,7,M
734,1864,7,M
831,1865,7,M
769,1866,7,M
719,1867,7,M
665,1868,7,M
671,1869,7,M
859,1870,7,M
837,1871,7,M
905,1872,7,M
941,1873,7,M
831,1874,7,M
843,1875,7,M
690,1876,7,M
655,1877,7,M
674,1878,7,M
605,1879,7,M
663,1880,7,M
794,1881,7,M
742,1882,7,M
765,1883,7,M
765,1884,7,M
762,1885,7,M
787,1886,7,M
755,1887,7,M
625,1888,7,M
595,1889,7,M
585,1890,7,M
754,1891,7,M
855,1892,7,M
827,1893,7,M
782,1894,7,M
766,1895,7,M
776,1896,7,M
857,1897,7,M
805,1898,7,M
969,1899,7,M
965,1900,7,M
978,1901,7,M
925,1902,7,M
949,1903,7,M
1008,1904,7,M
961,1905,7,M
923,1906,7,M
925,1907,7,M
933,1908,7,M
897,1909,7,M
936,1910,7,M
1002,1911,7,M
1050,1912,7,M
982,1913,7,M
1035,1914,7,M
942,1915,7,M
971,1916,7,M
998,1917,7,M
1015,1918,7,M
986,1919,7,M
1053,1920,7,M
1029,1921,7,M
1039,1922,7,M
1082,1923,7,M
1116,1924,7,M
1126,1925,7,M
1101,1926,7,M
1040,1927,7,M
1222,1928,7,M
1204,1929,7,M
1159,1930,7,M
1240,1931,7,M
1229,1932,7,M
1218,1933,7,M
1239,1934,7,M
1271,1935,7,M
1257,1936,7,M
1255,1937,7,M
1322,1938,7,M
1366,1939,7,M
1287,1940,7,M
1190,1941,7,M
1206,1942,7,M
1187,1943,7,M
1173,1944,7,M
1213,1945,7,M
1163,1946,7,M
1141,1947,7,M
1154,1948,7,M
1235,1949,7,M
1443,1950,7,M
1481,1951,7,M
1581,1952,7,M
1718,1953,7,M
1729,1954,7,M
1857,1955,7,M
1845,1956,7,M
1926,1957,7,M
2090,1958,7,M
1935,1959,7,M
2077,1960,7,M
2154,1961,7,M
2179,1962,7,M
2209,1963,7,M
2311,1964,7,M
2386,1965,7,M
2274,1966,7,M
2438,1967,7,M
2432,1968,7,M
2289,1969,7,M
2338,1970,7,M
2401,1971,7,M
2301,1972,7,M
2358,1973,7,M
2293,1974,7,M
2156,1975,7,M
2129,1976,7,M
2055,1977,7,M
1990,1978,7,M
2126,1979,7,M
2275,1980,7,M
2280,1981,7,M
2074,1982,7,M
2095,1983,7,M
2155,1984,7,M
1965,1985,7,M
2060,1986,7,M
2260,1987,7,M
2306,1988,7,M
2253,1989,7,M
2260,1990,7,M
2147,1991,7,M
2077,1992,7,M
1899,1993,7,M
1982,1994,7,M
2208,1995,7,M
2391,1996,7,M
2246,1997,7,M
2395,1998,7,M
2297,1999,7,M
2349,2000,7,M
2311,2001,7,M
2296,2002,7,M
2234,2003,7,M
2272,2004,7,M
2195,2005,7,M
2172,2006,7,M
2066,2007,7,M
2228,2008,7,M
2172,2009,7,M
2085,2010,7,M
2135,2011,7,M
2206,2012,7,M
2248,2013,7,M
2284,2014,7,M
2343,2015,7,M
2436,2016,7,M
2535,2017,7,M
2508,2018,7,M
2397,2019,7,M
832,1841,8,M
692,1842,8,M
666,1843,8,M
644,1844,8,M
657,1845,8,M
595,1846,8,M
554,1847,8,M
556,1848,8,M
650,1849,8,M
682,1850,8,M
681,1851,8,M
590,1852,8,M
597,1853,8,M
608,1854,8,M
474,1855,8,M
525,1856,8,M
622,1857,8,M
759,1858,8,M
645,1859,8,M
