Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1904,-.64,-.55,-.46,-.50,-.50,-.49,-.48,-.43,-.47,-.35,-.16,-.29,-.44,-.46,-.55,-.48,-.47,-.33
1905,-.38,-.59,-.25,-.36,-.33,-.31,-.25,-.21,-.15,-.23,-.08,-.21,-.28,-.29,-.42,-.31,-.26,-.15
1906,-.31,-.34,-.15,-.02,-.21,-.22,-.27,-.19,-.25,-.20,-.38,-.18,-.23,-.23,-.29,-.13,-.22,-.28
1907,-.44,-.53,-.25,-.40,-.46,-.43,-.35,-.37,-.32,-.24,-.51,-.50,-.40,-.37,-.38,-.37,-.38,-.36
1908,-.46,-.36,-.58,-.46,-.40,-.39,-.35,-.45,-.33,-.43,-.51,-.50,-.43,-.43,-.44,-.48,-.40,-.42
1909,-.70,-.47,-.52,-.59,-.54,-.52,-.43,-.30,-.37,-.39,-.31,-.55,-.47,-.47,-.55,-.55,-.42,-.36
1910,-.44,-.43,-.47,-.39,-.34,-.36,-.31,-.34,-.37,-.39,-.56,-.69,-.42,-.41,-.47,-.40,-.34,-.44
1911,-.64,-.60,-.62,-.55,-.51,-.47,-.41,-.43,-.38,-.26,-.20,-.25,-.44,-.48,-.64,-.56,-.43,-.28
1912,-.27,-.13,-.37,-.20,-.20,-.26,-.41,-.51,-.47,-.55,-.38,-.42,-.35,-.33,-.22,-.25,-.39,-.47
1913,-.41,-.44,-.44,-.36,-.45,-.46,-.34,-.32,-.32,-.34,-.18,-.04,-.34,-.37,-.42,-.42,-.37,-.28
1914,.02,-.13,-.23,-.28,-.19,-.22,-.24,-.15,-.13,-.05,-.20,-.10,-.16,-.16,-.05,-.23,-.21,-.13
1915,-.20,-.01,-.08,.07,-.01,-.16,-.03,-.15,-.12,-.22,-.12,-.25,-.11,-.09,-.10,-.01,-.11,-.16
1916,-.20,-.23,-.31,-.25,-.27,-.44,-.34,-.27,-.29,-.28,-.42,-.78,-.34,-.30,-.23,-.28,-.35,-.33
1917,-.46,-.53,-.47,-.38,-.48,-.40,-.23,-.26,-.18,-.35,-.29,-.71,-.40,-.40,-.59,-.45,-.30,-.27
1918,-.44,-.33,-.21,-.40,-.37,-.28,-.22,-.26,-.14,-.03,-.16,-.30,-.26,-.30,-.49,-.33,-.26,-.11
1919,-.21,-.19,-.25,-.17,-.20,-.28,-.21,-.19,-.17,-.16,-.29,-.35,-.22,-.22,-.24,-.21,-.23,-.21
1920,-.15,-.22,-.08,-.26,-.26,-.33,-.32,-.29,-.20,-.29,-.33,-.47,-.27,-.26,-.24,-.20,-.31,-.27
1921,-.04,-.21,-.28,-.36,-.36,-.31,-.16,-.24,-.16,-.06,-.16,-.18,-.21,-.23,-.24,-.33,-.24,-.13
1922,-.34,-.44,-.13,-.22,-.34,-.32,-.27,-.31,-.29,-.33,-.17,-.17,-.28,-.28,-.32,-.23,-.30,-.26
1923,-.27,-.37,-.32,-.38,-.33,-.24,-.29,-.30,-.28,-.13,.03,-.06,-.24,-.25,-.27,-.34,-.28,-.12
1924,-.24,-.27,-.12,-.35,-.19,-.28,-.27,-.35,-.30,-.36,-.23,-.43,-.28,-.25,-.19,-.22,-.30,-.30
1925,-.34,-.35,-.24,-.25,-.30,-.34,-.30,-.19,-.13,-.17,.03,.11,-.21,-.25,-.37,-.26,-.28,-.09
1926,.20,.07,.12,-.15,-.25,-.25,-.21,-.11,-.11,-.11,-.06,-.30,-.10,-.06,.13,-.09,-.19,-.09
1927,-.28,-.21,-.39,-.31,-.25,-.27,-.15,-.19,-.06,-.01,-.04,-.36,-.21,-.20,-.27,-.31,-.20,-.03
1928,-.04,-.12,-.28,-.29,-.30,-.41,-.21,-.25,-.20,-.19,-.09,-.20,-.21,-.23,-.17,-.29,-.29,-.16
1929,-.47,-.61,-.34,-.40,-.39,-.43,-.33,-.29,-.23,-.15,-.14,-.55,-.36,-.33,-.43,-.38,-.35,-.18
1930,-.29,-.24,-.08,-.26,-.25,-.19,-.17,-.11,-.11,-.08,.14,-.09,-.15,-.18,-.36,-.20,-.16,-.02
1931,-.10,-.22,-.06,-.21,-.22,-.06,.01,.00,-.06,.00,-.12,-.10,-.09,-.09,-.14,-.16,-.02,-.06
1932,.13,-.18,-.20,-.07,-.22,-.30,-.24,-.24,-.11,-.10,-.26,-.22,-.17,-.16,-.05,-.16,-.26,-.16
1933,-.34,-.32,-.29,-.23,-.25,-.32,-.20,-.23,-.26,-.24,-.31,-.47,-.29,-.27,-.30,-.26,-.25,-.27
1934,-.27,-.04,-.31,-.27,-.11,-.14,-.11,-.10,-.16,-.11,-.01,-.09,-.14,-.18,-.26,-.23,-.12,-.09
1935,-.37,.11,-.13,-.35,-.26,-.23,-.19,-.17,-.17,-.08,-.29,-.22,-.20,-.19,-.11,-.25,-.20,-.18
1936,-.29,-.39,-.23,-.20,-.17,-.19,-.06,-.12,-.06,-.04,-.05,-.04,-.15,-.17,-.30,-.20,-.12,-.05
1937,-.11,.05,-.17,-.17,-.07,-.08,-.05,.03,.14,.10,.09,-.12,-.03,-.02,-.03,-.13,-.03,.11
1938,.00,-.04,.05,.05,-.07,-.17,-.09,-.04,.03,.11,.01,-.26,-.03,-.02,-.05,.01,-.10,.05
1939,-.13,-.12,-.20,-.12,-.07,-.08,-.06,-.05,.00,-.03,.06,.40,-.03,-.09,-.17,-.13,-.06,.01
1940,-.15,.06,.12,.16,.05,.05,.10,.01,.12,.07,.13,.19,.08,.09,.10,.11,.05,.11
1941,.13,.23,.06,.11,.10,.04,.15,.14,.02,.24,.12,.14,.12,.13,.18,.09,.11,.13
1942,.26,.05,.13,.14,.14,.11,.02,-.03,.00,.06,.13,.12,.09,.09,.15,.14,.03,.06
1943,-.01,.22,.01,.13,.10,-.01,.14,.03,.11,.30,.25,.28,.13,.12,.11,.08,.05,.22
1944,.41,.31,.34,.27,.26,.22,.23,.23,.31,.27,.12,.05,.25,.27,.34,.29,.23,.23
1945,.13,.02,.11,.24,.10,.02,.07,.25,.22,.22,.10,-.10,.12,.13,.07,.15,.12,.18
1946,.15,.06,.00,.11,-.04,-.17,-.09,-.08,-.02,-.06,-.02,-.29,-.04,-.02,.04,.02,-.11,-.03
1947,-.13,-.08,.05,.04,-.06,.00,-.06,-.08,-.14,.06,-.01,-.18,-.05,-.06,-.16,.01,-.05,-.03
1948,.05,-.13,-.23,-.09,.08,-.05,-.13,-.10,-.10,-.07,-.08,-.23,-.09,-.09,-.09,-.08,-.09,-.08
1949,.09,-.16,-.01,-.07,-.09,-.22,-.13,-.08,-.08,-.03,-.08,-.19,-.09,-.09,-.10,-.06,-.15,-.06
1950,-.30,-.26,-.06,-.21,-.12,-.06,-.09,-.18,-.10,-.20,-.35,-.20,-.18,-.18,-.25,-.13,-.11,-.22
1951,-.35,-.44,-.19,-.10,-.02,-.05,.00,.05,.07,.06,.00,.15,-.07,-.10,-.33,-.10,.00,.04
1952,.16,.12,-.10,.02,-.05,-.04,.05,.07,.08,-.04,-.17,-.02,.01,.02,.14,-.04,.03,-.04
1953,.09,.16,.11,.20,.08,.08,.02,.08,.06,.05,-.05,.03,.08,.07,.08,.13,.06,.02
1954,-.28,-.10,-.12,-.18,-.20,-.16,-.16,-.13,-.07,-.01,.08,-.18,-.13,-.11,-.12,-.16,-.15,.00
1955,.11,-.21,-.36,-.23,-.20,-.08,-.09,.04,-.13,-.05,-.28,-.32,-.15,-.14,-.09,-.26,-.04,-.15
1956,-.17,-.25,-.23,-.26,-.28,-.15,-.12,-.25,-.22,-.24,-.17,-.10,-.20,-.22,-.25,-.26,-.17,-.21
1957,-.14,-.05,-.05,-.04,.08,.16,.01,.14,.06,.01,.07,.16,.04,.01,-.10,.00,.10,.05
1958,.39,.24,.10,.01,.08,-.05,.06,-.06,-.03,.04,.02,.01,.07,.08,.27,.06,-.02,.01
1959,.06,.09,.19,.16,.06,.02,.06,-.01,-.06,-.09,-.09,-.03,.03,.03,.05,.14,.03,-.08
1960,-.01,.14,-.36,-.16,-.08,.01,-.02,-.01,.05,.07,-.11,.18,-.02,-.04,.04,-.20,.00,.00
1961,.07,.18,.09,.15,.13,.12,-.03,.02,.05,.00,.03,-.15,.05,.08,.14,.12,.04,.03
1962,.08,.14,.12,.05,-.06,.06,-.02,-.02,-.01,-.03,.06,-.01,.03,.02,.02,.04,.00,.01
1963,-.03,.19,-.13,-.05,-.09,.03,.08,.25,.20,.15,.15,.00,.06,.06,.05,-.09,.12,.17
1964,-.06,-.12,-.22,-.30,-.25,-.07,-.07,-.20,-.28,-.30,-.21,-.30,-.20,-.17,-.06,-.26,-.11,-.26
1965,-.09,-.17,-.11,-.20,-.14,-.08,-.12,-.01,-.15,-.04,-.06,-.05,-.10,-.12,-.18,-.15,-.07,-.08
1966,-.16,.00,.04,-.13,-.10,.02,.09,-.10,-.01,-.15,-.02,-.06,-.05,-.05,-.07,-.07,.00,-.06
1967,-.06,-.20,.03,-.05,.14,-.08,.01,.02,-.04,.06,-.06,-.02,-.02,-.02,-.11,.04,-.02,-.01
1968,-.23,-.15,.21,-.05,-.10,-.06,-.11,-.11,-.18,.12,-.04,-.14,-.07,-.06,-.13,.02,-.09,-.04
1969,-.11,-.14,.00,.19,.20,.05,-.01,.03,.10,.11,.12,.27,.07,.03,-.13,.13,.02,.11
1970,.09,.22,.08,.09,-.05,-.03,-.04,-.11,.11,.05,.01,-.13,.02,.06,.20,.04,-.06,.06
1971,-.02,-.20,-.18,-.09,-.06,-.18,-.12,-.03,-.01,-.05,-.04,-.08,-.09,-.09,-.12,-.11,-.11,-.03
1972,-.24,-.17,.02,-.01,-.03,.04,.02,.18,.03,.09,.03,.18,.01,-.01,-.16,-.01,.08,.05
1973,.28,.30,.26,.25,.26,.16,.09,.02,.06,.12,.06,-.06,.15,.17,.25,.26,.09,.08
1974,-.14,-.28,-.05,-.10,-.01,-.05,-.03,.12,-.12,-.07,-.07,-.09,-.07,-.07,-.16,-.05,.01,-.09
1975,.07,.07,.14,.06,.16,-.02,-.03,-.20,-.03,-.09,-.16,-.17,-.02,-.01,.02,.12,-.08,-.09
1976,.00,-.06,-.21,-.10,-.23,-.15,-.12,-.18,-.09,-.26,-.06,.09,-.11,-.14,-.08,-.18,-.15,-.14
1977,.18,.20,.25,.27,.30,.25,.23,.19,.02,.04,.20,.05,.18,.19,.16,.27,.22,.09
1978,.08,.14,.21,.15,.07,-.03,.07,-.18,.05,.00,.16,.11,.07,.06,.09,.14,-.05,.07
1979,.14,-.09,.19,.13,.06,.14,.03,.14,.27,.26,.29,.47,.17,.14,.06,.12,.10,.27
1980,.30,.42,.29,.32,.34,.16,.28,.24,.21,.20,.30,.21,.27,.29,.40,.32,.23,.23
1981,.56,.41,.48,.32,.25,.31,.35,.35,.17,.13,.21,.40,.33,.31,.39,.35,.33,.17
1982,.09,.14,-.01,.10,.16,.05,.13,.08,.15,.13,.14,.43,.13,.13,.21,.08,.09,.14
1983,.52,.40,.42,.30,.35,.18,.15,.30,.38,.15,.30,.17,.30,.32,.45,.36,.21,.28
1984,.30,.17,.29,.08,.33,.04,.16,.15,.20,.15,.04,-.06,.15,.17,.21,.23,.12,.13
1985,.21,-.06,.17,.11,.17,.17,.00,.15,.14,.11,.09,.15,.12,.10,.03,.15,.10,.12
1986,.30,.39,.29,.26,.26,.12,.13,.12,.02,.14,.11,.16,.19,.19,.28,.27,.12,.09
1987,.36,.46,.17,.24,.26,.36,.46,.28,.39,.32,.25,.47,.33,.31,.33,.22,.36,.32
1988,.57,.42,.49,.45,.44,.42,.35,.46,.42,.40,.13,.34,.41,.42,.49,.46,.41,.31
1989,.16,.35,.36,.33,.17,.15,.34,.36,.37,.32,.21,.37,.29,.29,.28,.29,.28,.30
1990,.41,.41,.76,.55,.46,.38,.44,.30,.30,.43,.46,.42,.44,.44,.40,.59,.37,.40
1991,.42,.51,.36,.53,.39,.54,.51,.42,.50,.32,.31,.33,.43,.44,.45,.42,.49,.38
1992,.45,.42,.47,.24,.32,.24,.13,.10,.01,.11,.04,.22,.23,.24,.40,.35,.16,.05
1993,.37,.39,.36,.28,.26,.24,.28,.13,.11,.24,.07,.19,.24,.25,.33,.30,.22,.14
1994,.30,.04,.26,.41,.29,.42,.32,.23,.32,.42,.46,.36,.32,.31,.18,.32,.33,.40
1995,.50,.77,.45,.47,.29,.45,.49,.48,.34,.49,.45,.30,.46,.46,.55,.40,.47,.43
1996,.27,.50,.34,.38,.30,.27,.37,.49,.27,.20,.42,.41,.35,.34,.35,.34,.37,.30
1997,.33,.37,.52,.38,.39,.55,.35,.43,.56,.64,.66,.60,.48,.47,.37,.43,.44,.62
1998,.61,.90,.63,.64,.71,.78,.71,.68,.45,.47,.50,.56,.64,.64,.70,.66,.73,.47
1999,.48,.66,.34,.34,.33,.37,.41,.34,.43,.43,.42,.46,.42,.43,.57,.34,.37,.43
2000,.26,.58,.60,.59,.40,.44,.42,.43,.42,.30,.34,.30,.42,.44,.43,.53,.43,.35
2001,.44,.46,.58,.52,.59,.55,.61,.49,.56,.52,.70,.55,.55,.53,.40,.56,.55,.59
2002,.75,.76,.91,.58,.65,.54,.62,.55,.65,.57,.59,.43,.63,.64,.69,.71,.57,.61
2003,.73,.55,.57,.55,.62,.49,.55,.66,.66,.75,.55,.75,.62,.59,.57,.58,.57,.65
2004,.59,.71,.64,.62,.42,.43,.26,.45,.53,.66,.72,.52,.55,.56,.68,.56,.38,.64
2005,.72,.58,.69,.69,.65,.67,.66,.63,.78,.80,.76,.68,.69,.68,.61,.68,.65,.78
2006,.57,.70,.63,.50,.47,.64,.54,.72,.64,.69,.72,.77,.63,.62,.65,.53,.63,.68
2007,.96,.70,.70,.76,.67,.58,.62,.60,.64,.60,.57,.50,.66,.68,.81,.71,.60,.60
2008,.24,.36,.73,.53,.51,.48,.60,.44,.65,.67,.66,.54,.54,.53,.37,.59,.51,.66
2009,.62,.53,.53,.61,.65,.65,.72,.66,.70,.64,.77,.65,.64,.63,.56,.59,.68,.70
2010,.73,.78,.92,.87,.75,.64,.62,.65,.61,.71,.79,.49,.71,.73,.72,.85,.64,.71
2011,.51,.53,.64,.65,.53,.59,.73,.73,.56,.66,.56,.54,.60,.60,.51,.61,.68,.59
2012,.46,.49,.58,.69,.76,.62,.57,.63,.76,.78,.75,.53,.63,.63,.50,.68,.60,.76
2013,.68,.55,.66,.52,.61,.65,.59,.66,.78,.69,.81,.67,.65,.64,.58,.60,.64,.76
2014,.73,.51,.77,.78,.87,.66,.57,.82,.90,.85,.67,.79,.74,.73,.64,.81,.68,.81
2015,.81,.86,.90,.74,.78,.78,.71,.78,.81,1.06,1.04,1.11,.87,.84,.82,.81,.76,.97
2016,1.17,1.35,1.30,1.09,.93,.76,.83,.98,.87,.89,.93,.81,.99,1.02,1.21,1.11,.85,.90
