ID,greek_letter,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude
424,alf,UMi,02,31,50.5,+89,15,51,2.02
429,gam,Phe,01,28,21.9,-43,19,06,3.41
434,mu,Psc,01,30,11.1,+06,08,38,4.84
437,eta,Psc,01,31,28.9,+15,20,45,3.62
440,del,Phe,01,31,15.0,-49,04,22,3.95
442,chi,Cas,01,33,55.9,+59,13,56,4.72
458,ups,And,01,36,47.8,+41,24,20,4.10
464,,And,01,37,59.5,+48,37,42,3.57
469,chi,And,01,39,20.9,+44,23,10,4.98
472,alf,Eri,01,37,42.9,-57,14,12,0.46
477,tau,And,01,40,34.7,+40,34,37,4.94
483,,,01,41,47.1,+42,36,49,4.96
489,nu,Psc,01,41,25.8,+05,29,15,4.44
496,phi,Per,01,43,39.6,+50,41,20,4.06
500,,,01,42,43.4,-03,41,25,5.00
509,tau,Cet,01,44,04.0,-15,56,15,3.50
510,omi,Psc,01,45,23.6,+09,09,28,4.26
531,chi,Cet,01,49,35.0,-10,41,11,4.68
539,zet,Cet,01,51,27.5,-10,20,06,3.72
542,eps,Cas,01,54,23.6,+63,40,13,3.37
544,alf,Tri,01,53,04.8,+29,34,44,3.42
545,gam1,Ari,01,53,31.7,+19,17,45,4.83
546,gam2,Ari,01,53,31.8,+19,17,37,4.75
548,omg,Cas,01,55,59.9,+68,41,07,4.99
549,xi,Psc,01,53,33.3,+03,11,15,4.63
553,bet,Ari,01,54,38.3,+20,48,29,2.65
555,psi,Phe,01,53,38.7,-46,18,10,4.41
565,,Cet,01,56,40.1,-22,31,36,4.85
566,chi,Eri,01,55,57.4,-51,36,32,3.70
569,lam,Ari,01,57,55.7,+23,35,46,4.79
570,eta2,Hyi,01,54,56.1,-67,38,51,4.69
574,,,01,57,10.0,-47,23,06,4.82
575,,Cas,02,01,57.3,+70,54,26,4.54
580,,Cas,02,03,26.0,+72,25,17,3.98
585,ups,Cet,02,00,00.2,-21,04,40,4.02
591,alf,Hyi,01,58,46.2,-61,34,12,2.86
596,alf,Psc,02,02,02.7,+02,45,49,4.33
603,gam1,And,02,03,53.9,+42,19,47,2.26
604,gam2,And,02,03,54.7,+42,19,51,4.84
612,nu,For,02,04,29.4,-29,17,49,4.69
617,alf,Ari,02,07,10.3,+23,27,45,2.01
620,,And,02,08,29.2,+37,51,33,4.83
622,bet,Tri,02,09,32.5,+34,59,14,3.00
623,,Ari,02,09,25.3,+25,56,24,4.98
642,,Tri,02,12,22.2,+30,18,11,4.94
643,,And,02,13,13.2,+44,13,55,4.83
649,xi1,Cet,02,12,59.9,+08,50,48,4.35
660,del,Tri,02,17,03.2,+34,13,28,4.87
664,gam,Tri,02,17,18.8,+33,50,50,4.01
674,phi,Eri,02,16,30.6,-51,30,44,3.56
681,omi,Cet,02,19,20.7,-02,58,39,3.05
699,,And,02,25,37.3,+50,16,43,4.70
705,del,Hyi,02,21,45.1,-68,39,34,4.09
707,iot,Cas,02,29,03.9,+67,24,09,4.53
708,ro,Cet,02,25,56.9,-12,17,26,4.89
718,xi2,Cet,02,28,09.5,+08,27,36,4.30
721,kap,Eri,02,26,59.1,-47,42,14,4.25
740,sig,Cet,02,32,05.1,-15,14,41,4.75
749,omg,For,02,33,50.6,-28,13,57,4.89
754,nu,Cet,02,35,52.4,+05,35,36,4.86
779,del,Cet,02,39,28.9,+00,19,43,4.06
781,eps,Cet,02,39,33.7,-11,52,20,4.84
788,,Per,02,42,14.9,+40,11,38,4.92
789,,,02,39,47.9,-42,53,30,4.75
794,iot,Eri,02,40,40.0,-39,51,19,4.11
799,tet,Per,02,44,11.9,+49,13,43,4.13
801,,Ari,02,43,27.0,+27,42,26,4.67
804,gam,Cet,02,43,18.0,+03,14,09,3.47
806,eps,Hyi,02,39,35.5,-68,16,01,4.11
811,pi,Cet,02,44,07.3,-13,51,32,4.24
813,mu,Cet,02,44,56.5,+10,06,51,4.27
818,tau1,Eri,02,45,06.1,-18,34,21,4.46
824,,Ari,02,47,54.5,+29,14,50,4.52
834,eta,Per,02,50,41.8,+55,53,44,3.79
837,zet,Hyi,02,45,32.6,-67,37,00,4.84
838,,Ari,02,49,59.0,+27,15,38,3.62
840,,Per,02,50,34.9,+38,19,07,4.23
841,bet,For,02,49,05.4,-32,24,22,4.46
843,,Per,02,51,30.8,+35,03,35,4.53
850,tau2,Eri,02,51,02.2,-21,00,15,4.77
854,tau,Per,02,54,15.4,+52,45,45,3.96
868,,,02,53,52.8,-49,53,25,3.92
872,nu,Hyi,02,50,28.7,-75,04,01,4.75
874,eta,Eri,02,56,25.6,-08,53,53,3.87
879,pi,Per,02,58,45.6,+39,39,46,4.70
882,,Per,02,59,03.6,+35,10,59,4.94
887,eps,Ari,02,59,12.6,+21,20,25,4.63
888,eps,Ari,02,59,12.6,+21,20,25,4.64
896,lam,Cet,02,59,42.8,+08,54,27,4.70
897,tet1,Eri,02,58,15.6,-40,18,17,3.42
898,tet2,Eri,02,58,16.2,-40,18,16,4.42
909,bet,Hor,02,58,47.8,-64,04,16,4.99
911,alf,Cet,03,02,16.7,+04,05,23,2.53
915,gam,Per,03,04,47.7,+53,30,23,2.93
918,,,03,05,32.4,+56,42,21,4.76
919,tau3,Eri,03,02,23.5,-23,37,28,4.09
921,ro,Per,03,05,10.5,+38,50,25,3.39
932,,,03,11,56.3,+74,23,37,4.88
936,bet,Per,03,08,10.1,+40,57,21,2.12
937,iot,Per,03,09,04.0,+49,36,48,4.05
941,kap,Per,03,09,29.7,+44,51,27,3.81
947,omg,Per,03,11,17.3,+39,36,42,4.64
951,del,Ari,03,11,37.7,+19,43,36,4.37
963,alf,For,03,12,04.2,-28,59,14,3.85
972,zet,Ari,03,14,54.0,+21,02,40,4.89
984,zet,Eri,03,15,49.9,-08,49,11,4.80
985,,,03,19,59.3,+65,39,09,4.85
991,,,03,18,43.7,+34,13,21,4.82
994,,Eri,03,18,22.1,-22,30,41,4.88
996,kap1,Cet,03,19,21.6,+03,22,13,4.84
999,,,03,20,20.3,+29,02,55,4.47
1002,,Per,03,21,26.5,+43,19,47,4.95
1003,tau4,Eri,03,19,30.9,-21,45,28,3.70
1008,,,03,19,55.6,-43,04,11,4.27
1017,alf,Per,03,24,19.3,+49,51,41,1.79
1030,omi,Tau,03,24,48.7,+09,01,44,3.60
1034,,,03,28,03.0,+49,03,46,4.98
1035,,,03,29,04.1,+59,56,25,4.22
1038,xi,Tau,03,27,10.1,+09,43,58,3.75
1040,,,03,29,54.8,+58,52,44,4.54
1044,,Per,03,29,22.0,+49,30,32,4.67
1052,sig,Per,03,30,34.4,+47,59,43,4.38
1066,,Tau,03,30,52.3,+12,56,12,4.10
1070,,Eri,03,30,37.0,-05,04,31,4.73
1083,kap,Ret,03,29,22.6,-62,56,16,4.72
1084,eps,Eri,03,32,55.8,-09,27,30,3.73
1087,psi,Per,03,36,29.3,+48,11,34,4.23
1088,tau5,Eri,03,33,47.2,-21,37,59,4.28
1101,,Tau,03,36,52.3,+00,24,06,4.28
1106,,,03,37,05.6,-40,16,29,4.58
1122,del,Per,03,42,55.4,+47,47,15,3.01
1123,,Per,03,42,22.5,+33,57,54,4.97
1129,,,03,46,02.3,+63,20,42,4.79
1131,omi,Per,03,44,19.1,+32,17,18,3.83
1134,del,For,03,42,14.9,-31,56,18,5.00
1135,nu,Per,03,45,11.6,+42,34,43,3.80
1136,del,Eri,03,43,14.8,-09,45,48,3.54
1142,,Tau,03,44,52.5,+24,06,48,3.70
1143,,,03,42,50.0,-37,18,49,4.59
1145,,Tau,03,45,12.4,+24,28,02,4.30
1148,gam,Cam,03,50,21.5,+71,19,57,4.66
1149,,Tau,03,45,49.5,+24,22,04,3.87
1155,,,03,49,31.2,+65,31,34,4.48
1156,,Tau,03,46,19.5,+23,56,54,4.18
1162,pi,Eri,03,46,08.4,-12,06,06,4.42
1165,eta,Tau,03,47,29.0,+24,06,18,2.87
1173,tau6,Eri,03,46,50.8,-23,14,59,4.23
1175,bet,Ret,03,44,12.0,-64,48,26,3.85
1178,,Tau,03,49,09.7,+24,03,12,3.62
1190,,,03,48,35.8,-37,37,14,4.86
1195,,,03,49,27.2,-36,12,01,4.17
1203,zet,Per,03,54,07.9,+31,53,01,2.85
1205,,,03,57,08.2,+61,06,32,5.00
1208,gam,Hyi,03,47,14.5,-74,14,21,3.24
1212,,Eri,03,54,17.4,-02,57,17,4.79
1213,tau8,Eri,03,53,42.6,-24,36,45,4.65
1220,eps,Per,03,57,51.2,+40,00,37,2.89
1228,xi,Per,03,58,57.8,+35,47,28,4.04
1231,gam,Eri,03,58,01.7,-13,30,31,2.94
1239,lam,Tau,04,00,40.8,+12,29,25,3.41
1240,tau9,Eri,03,59,55.4,-24,00,59,4.66
1247,del,Ret,03,58,44.7,-61,24,01,4.56
1251,nu,Tau,04,03,09.3,+05,59,22,3.91
1256,,Tau,04,04,41.7,+22,04,55,4.37
1261,lam,Per,04,06,35.0,+50,21,05,4.29
1264,gam,Ret,04,00,53.8,-62,09,34,4.51
1266,iot,Ret,04,01,18.2,-61,04,44,4.97
1273,,Per,04,08,39.6,+47,42,45,4.03
1298,omi1,Eri,04,11,51.9,-06,50,16,4.05
1302,del,Hor,04,10,50.5,-41,59,37,4.93
1303,mu,Per,04,14,53.8,+48,24,34,4.16
1306,,Per,04,14,53.3,+40,29,02,4.71
1311,,Tau,04,13,56.3,+09,15,49,4.84
1318,,Eri,04,14,23.6,-10,15,23,4.86
1320,mu,Tau,04,15,32.0,+08,53,32,4.28
1324,,,04,18,14.6,+50,17,44,4.61
1325,omi2,Eri,04,15,16.3,-07,39,10,4.43
1326,alf,Hor,04,14,00.1,-42,17,40,3.86
1329,omg2,Tau,04,17,15.6,+20,34,43,4.95
1336,alf,Ret,04,14,25.5,-62,28,26,3.35
1338,gam,Dor,04,16,01.6,-51,29,12,4.25
1343,,Per,04,20,24.6,+34,34,00,4.93
1346,gam,Tau,04,19,47.5,+15,37,39,3.65
1347,ups4,Eri,04,17,53.6,-33,47,54,3.56
1348,phi,Tau,04,20,21.2,+27,21,03,4.95
1350,,Per,04,21,33.1,+46,29,56,4.86
1355,eps,Ret,04,16,28.9,-59,18,07,4.44
1373,del1,Tau,04,22,56.0,+17,32,33,3.76
1380,del2,Tau,04,24,05.7,+17,26,38,4.80
1387,kap1,Tau,04,25,22.1,+22,17,38,4.22
1389,del3,Tau,04,25,29.3,+17,55,41,4.28
1392,ups,Tau,04,26,18.4,+22,48,49,4.28
1393,,Eri,04,24,02.1,-34,01,01,3.96
1394,,Tau,04,26,20.7,+15,37,06,4.50
1396,pi,Tau,04,26,36.4,+14,42,49,4.69
1407,,Tau,04,28,26.3,+16,21,35,4.97
1409,eps,Tau,04,28,36.9,+19,10,49,3.54
1411,tet1,Tau,04,28,34.4,+15,57,44,3.84
1412,tet2,Tau,04,28,39.7,+15,52,15,3.39
1427,,,04,30,33.6,+16,11,38,4.78
1437,,Eri,04,31,52.6,-00,02,39,4.89
1444,ro,Tau,04,33,50.8,+14,50,40,4.65
1453,ups1,Eri,04,33,30.6,-29,46,00,4.51
1454,,Per,04,36,41.3,+41,15,53,4.26
1457,alf,Tau,04,35,55.2,+16,30,33,0.86
1458,,Tau,04,35,39.2,+10,09,39,4.25
1463,nu,Eri,04,36,19.1,-03,21,09,3.92
1464,ups2,Eri,04,35,33.0,-30,33,45,3.82
1465,alf,Dor,04,33,59.8,-55,02,42,3.27
1473,,Tau,04,38,09.4,+12,30,39,4.27
1479,sig2,Tau,04,39,16.4,+15,55,05,4.70
1481,,Eri,04,38,10.7,-14,18,15,3.87
1496,,Eri,04,40,26.4,-19,40,18,4.30
1497,tau,Tau,04,42,14.6,+22,57,25,4.29
1502,alf,Cae,04,40,33.6,-41,51,50,4.45
1520,mu,Eri,04,45,30.1,-03,15,17,4.02
1533,,,04,49,54.6,+37,29,18,4.91
1542,alf,Cam,04,54,03.0,+66,20,34,4.29
1543,pi3,Ori,04,49,50.3,+06,57,41,3.18
1544,pi2,Ori,04,50,36.7,+08,54,01,4.35
1551,,Aur,04,52,37.9,+36,42,11,4.77
1552,pi4,Ori,04,51,12.3,+05,36,18,3.68
1556,omi1,Ori,04,52,31.9,+14,15,02,4.74
1560,omg,Eri,04,52,53.6,-05,27,10,4.39
1567,pi5,Ori,04,54,15.0,+02,26,26,3.73
1568,,Cam,04,57,17.1,+53,45,08,4.47
1570,pi1,Ori,04,54,53.7,+10,09,03,4.67
1577,iot,Aur,04,56,59.6,+33,09,58,2.69
1580,omi2,Ori,04,56,22.2,+13,30,52,4.06
1592,omg,Aur,04,59,15.3,+37,53,25,4.95
1601,pi6,Ori,04,58,32.8,+01,42,51,4.47
1603,bet,Cam,05,03,25.1,+60,26,32,4.02
1605,eps,Aur,05,01,58.1,+43,49,24,2.99
1611,,Eri,04,59,55.7,-12,32,15,4.78
1612,zet,Aur,05,02,28.6,+41,04,33,3.75
1617,psi,Eri,05,01,26.3,-07,10,26,4.81
1620,iot,Tau,05,03,05.7,+21,35,24,4.64
1621,,,05,01,25.5,-20,03,07,4.92
1637,,Aur,05,06,40.6,+51,35,52,5.00
1638,,Ori,05,04,34.1,+15,24,14,4.68
1641,eta,Aur,05,06,30.8,+41,14,04,3.18
1652,gam1,Cae,05,04,24.3,-35,29,00,4.55
1654,eps,Lep,05,05,27.6,-22,22,16,3.18
1656,,Tau,05,07,27.0,+18,38,42,5.00
1666,bet,Eri,05,07,50.9,-05,05,11,2.79
1674,zet,Dor,05,05,30.6,-57,28,22,4.72
1676,,Ori,05,09,41.9,+15,35,50,4.82
1679,lam,Eri,05,09,08.7,-08,45,15,4.27
1689,mu,Aur,05,13,25.6,+38,29,04,4.88
1696,iot,Lep,05,12,17.8,-11,52,09,4.44
1698,ro,Ori,05,13,17.4,+02,51,40,4.44
1702,mu,Lep,05,12,55.8,-16,12,20,3.29
1705,kap,Lep,05,13,13.8,-12,56,30,4.36
1708,alf,Aur,05,16,41.3,+45,59,53,0.08
1713,bet,Ori,05,14,32.2,-08,12,06,0.13
1726,,Aur,05,18,10.6,+33,22,18,4.54
1729,lam,Aur,05,19,08.4,+40,05,57,4.71
1735,tau,Ori,05,17,36.3,-06,50,40,3.59
1739,,Tau,05,19,16.5,+22,05,47,4.94
1743,omi,Col,05,17,29.0,-34,53,43,4.83
1744,tet,Dor,05,13,45.4,-67,11,08,4.83
1756,lam,Lep,05,19,34.4,-13,10,37,4.29
1762,,,05,20,26.8,-21,14,23,4.71
1765,,Ori,05,21,45.7,-00,22,57,4.74
1770,,Ori,05,22,49.9,+03,32,40,5.00
1773,sig,Aur,05,24,39.1,+37,23,08,4.99
1780,,Tau,05,24,25.4,+17,23,00,4.99
1784,,Ori,05,23,56.8,-07,48,29,4.12
1788,eta,Ori,05,24,28.6,-02,23,49,3.35
1789,psi1,Ori,05,24,44.8,+01,50,47,4.96
1790,gam,Ori,05,25,07.8,+06,20,59,1.64
1791,bet,Tau,05,26,17.5,+28,36,27,1.65
1810,,Tau,05,27,38.0,+21,56,13,4.89
1811,psi2,Ori,05,26,50.2,+03,05,44,4.59
1829,bet,Lep,05,28,14.7,-20,45,34,2.84
1834,,Ori,05,29,43.9,-01,05,32,4.71
1839,,Ori,05,30,47.0,+05,56,53,4.20
1843,chi,Aur,05,32,43.6,+32,11,31,4.79
1845,,Tau,05,32,12.7,+18,35,39,4.33
1852,del,Ori,05,32,00.3,-00,17,57,2.24
1855,ups,Ori,05,31,55.8,-07,18,06,4.63
1862,eps,Col,05,31,12.7,-35,28,14,3.87
1865,alf,Lep,05,32,43.7,-17,49,20,2.57
1876,phi1,Ori,05,34,49.2,+09,29,22,4.41
1879,lam,Ori,05,35,08.2,+09,56,03,3.66
1887,,,05,35,02.6,-06,00,07,4.78
1892,,Ori,05,35,23.1,-04,50,18,4.59
1899,iot,Ori,05,35,25.9,-05,54,36,2.76
1903,eps,Ori,05,36,12.7,-01,12,07,1.69
1907,phi2,Ori,05,36,54.3,+09,17,26,4.09
1910,zet,Tau,05,37,38.6,+21,08,33,3.03
1922,bet,Dor,05,33,37.5,-62,29,24,3.76
1931,sig,Ori,05,38,44.7,-02,36,00,3.80
1934,omg,Ori,05,39,11.1,+04,07,17,4.59
1937,,Ori,05,38,53.0,-07,12,47,4.81
1946,,Tau,05,41,17.7,+16,32,02,4.86
1948,zet,Ori,05,40,45.5,-01,56,34,2.05
1949,zet,Ori,05,40,45.5,-01,56,34,4.21
1952,,,05,40,50.6,-01,07,44,4.95
1956,alf,Col,05,39,38.9,-34,04,27,2.65
1963,,Ori,05,42,28.6,+01,28,29,4.90
1983,gam,Lep,05,44,27.8,-22,26,54,3.60
1995,tau,Aur,05,49,10.4,+39,10,52,4.53
1998,zet,Lep,05,46,57.3,-14,49,19,3.54
2002,,Tau,05,49,00.9,+24,34,03,4.86
2004,kap,Ori,05,47,45.3,-09,40,11,2.06
2010,,Tau,05,49,32.9,+12,39,04,4.91
2011,ups,Aur,05,51,02.4,+37,18,20,4.74
2012,nu,Aur,05,51,29.3,+39,08,55,3.97
2015,del,Dor,05,44,46.5,-65,44,08,4.35
2020,bet,Pic,05,47,17.1,-51,03,59,3.85
2029,xi,Aur,05,54,50.7,+55,42,25,5.00
2034,,Tau,05,53,19.6,+27,36,44,4.59
2035,del,Lep,05,51,19.2,-20,52,45,3.85
2037,,Ori,05,52,26.4,+01,51,19,4.78
2040,bet,Col,05,50,57.5,-35,46,06,3.12
2042,gam,Pic,05,49,49.6,-56,10,00,4.51
2047,chi1,Ori,05,54,22.9,+20,16,34,4.41
2056,lam,Col,05,53,06.8,-33,48,05,4.87
2061,alf,Ori,05,55,10.3,+07,24,25,0.50
2077,del,Aur,05,59,31.6,+54,17,05,3.72
2084,,Tau,05,57,59.6,+25,57,14,4.82
2085,eta,Lep,05,56,24.2,-14,10,04,3.72
2087,xi,Col,05,55,29.8,-37,07,15,4.97
2088,bet,Aur,05,59,31.7,+44,56,51,1.90
2091,pi,Aur,05,59,56.1,+45,56,13,4.25
2095,tet,Aur,05,59,43.2,+37,12,45,2.62
2102,,,05,54,06.1,-63,05,23,4.65
2106,gam,Col,05,57,32.2,-35,17,00,4.36
2113,,,06,00,03.3,-03,04,27,4.52
2120,eta,Col,05,59,08.7,-42,48,55,3.96
2124,mu,Ori,06,02,23.0,+09,38,51,4.12
2128,,Mon,06,01,50.3,-10,35,53,4.94
2134,,Gem,06,04,07.2,+23,15,48,4.15
2135,chi2,Ori,06,03,55.2,+20,08,18,4.63
2148,,Lep,06,04,59.0,-16,29,04,4.93
2155,tet,Lep,06,06,09.3,-14,56,07,4.67
2159,nu,Ori,06,07,34.3,+14,46,06,4.42
2198,,Ori,06,12,03.3,+16,07,50,4.92
2199,xi,Ori,06,11,56.4,+14,12,31,4.48
2209,,,06,18,50.8,+69,19,12,4.80
2212,del,Pic,06,10,17.9,-54,58,07,4.81
2215,,Lyn,06,17,54.9,+61,30,55,4.98
2216,eta,Gem,06,14,52.6,+22,30,24,3.28
2219,kap,Aur,06,15,22.6,+29,29,53,4.35
2227,gam,Mon,06,14,51.3,-06,16,29,3.96
2238,,Lyn,06,19,37.3,+59,00,39,4.48
2256,kap,Col,06,16,33.0,-35,08,26,4.37
2275,,,06,19,59.5,-02,56,40,4.90
2282,zet,CMa,06,20,18.7,-30,03,48,3.02
2286,mu,Gem,06,22,57.6,+22,30,49,2.87
2289,psi1,Aur,06,24,53.8,+49,17,17,4.75
2294,bet,CMa,06,22,41.9,-17,57,22,1.97
2296,del,Col,06,22,06.7,-33,26,11,3.85
2298,eps,Mon,06,23,46.0,+04,35,34,4.44
2326,alf,Car,06,23,57.2,-52,41,44,-0.72
2343,nu,Gem,06,28,57.7,+20,12,43,4.14
2356,bet,Mon,06,28,48.9,-07,01,59,4.60
2361,lam,CMa,06,28,10.1,-32,34,49,4.48
2385,,Mon,06,32,54.2,+07,19,58,4.50
2387,xi1,CMa,06,31,51.3,-23,25,06,4.33
2414,xi2,CMa,06,35,03.3,-22,57,53,4.54
2421,gam,Gem,06,37,42.7,+16,23,57,1.92
2427,psi2,Aur,06,39,19.8,+42,29,20,4.82
2429,nu2,CMa,06,36,41.0,-19,15,22,3.91
2435,,,06,34,58.5,-52,58,32,4.39
2443,nu3,CMa,06,37,53.3,-18,14,15,4.42
2450,,,06,39,16.6,-14,08,45,4.82
2451,nu,Pup,06,37,45.6,-43,11,45,3.17
2456,,Mon,06,40,58.6,+09,53,44,4.66
2462,,,06,38,37.6,-48,13,13,4.93
2470,,Lyn,06,46,14.1,+59,26,30,4.87
2473,eps,Gem,06,43,55.9,+25,07,52,2.98
2478,,Gem,06,43,59.2,+13,13,40,4.49
2484,xi,Gem,06,45,17.3,+12,53,44,3.36
2491,alf,CMa,06,45,08.9,-16,42,58,-1.46
2503,,Mon,06,47,19.8,+08,02,14,4.76
2506,,Mon,06,47,51.6,+02,24,44,4.46
2527,,,07,00,04.0,+76,58,39,4.55
2538,kap,CMa,06,49,50.4,-32,30,31,3.89
2540,tet,Gem,06,52,47.3,+33,57,40,3.60
2549,,,06,50,52.3,-34,22,02,4.99
2550,alf,Pic,06,48,11.4,-61,56,29,3.27
2553,tau,Pup,06,49,56.1,-50,36,53,2.93
2554,,,06,49,51.3,-53,37,20,4.40
2560,,Lyn,06,57,16.5,+58,25,21,4.35
2564,,Gem,06,54,38.6,+13,10,40,4.65
2571,,CMa,06,53,32.8,-20,13,27,4.83
2574,tet,CMa,06,54,11.3,-12,02,19,4.08
2580,omi1,CMa,06,54,07.8,-24,11,02,3.87
2585,,Lyn,06,57,37.0,+45,05,39,4.90
2590,pi,CMa,06,55,37.3,-20,08,11,4.69
2593,mu,CMa,06,56,06.6,-14,02,37,5.00
2596,iot,CMa,06,56,08.1,-17,03,15,4.37
2608,,,06,56,16.0,-48,43,16,4.95
2618,eps,CMa,06,58,37.5,-28,58,20,1.50
2646,sig,CMa,07,01,43.1,-27,56,06,3.43
2648,,Mon,07,02,54.6,-04,14,21,5.00
2650,zet,Gem,07,04,06.5,+20,34,13,3.79
2653,omi2,CMa,07,03,01.4,-23,50,00,3.01
2657,gam,CMa,07,03,45.4,-15,38,00,4.11
2672,,,07,03,53.7,-49,35,02,4.93
2693,del,CMa,07,08,23.4,-26,23,35,1.84
2696,,Aur,07,11,39.3,+39,19,14,4.99
2697,tau,Gem,07,11,08.3,+30,14,43,4.42
2701,,Mon,07,10,13.6,-04,14,14,4.92
2702,,,07,08,51.0,-39,39,21,4.83
2714,del,Mon,07,11,51.8,-00,29,34,4.15
2717,,Gem,07,13,22.2,+16,09,32,5.00
2736,gam2,Vol,07,08,45.0,-70,29,57,3.78
2740,,,07,12,33.6,-46,45,34,4.49
2742,,,07,31,04.5,+82,24,42,4.96
2745,,CMa,07,14,15.1,-26,21,09,4.65
2746,,,07,13,13.3,-45,10,59,4.89
2749,omg,CMa,07,14,48.6,-26,46,22,3.82
2762,,,07,14,38.1,-48,16,18,4.76
2763,lam,Gem,07,18,05.5,+16,32,25,3.58
2764,,,07,16,36.7,-23,18,56,4.79
2766,,,07,16,34.9,-27,52,52,4.60
2773,pi,Pup,07,17,08.5,-37,05,51,2.70
2777,del,Gem,07,20,07.3,+21,58,56,3.53
2781,,CMa,07,18,40.3,-24,33,32,4.95
2782,tau,CMa,07,18,42.4,-24,57,15,4.40
2787,,,07,18,18.4,-36,44,03,4.67
2803,del,Vol,07,16,49.8,-67,57,27,3.98
2812,,,07,22,13.5,-19,01,00,4.96
2818,,Lyn,07,26,42.8,+49,12,42,4.63
2821,iot,Gem,07,25,43.5,+27,47,53,3.79
2827,eta,CMa,07,24,05.6,-29,18,11,2.44
2828,eps,CMi,07,25,38.8,+09,16,34,4.99
2845,bet,CMi,07,27,09.0,+08,17,21,2.89
2852,ro,Gem,07,29,06.6,+31,47,04,4.18
2854,gam,CMi,07,28,09.7,+08,55,32,4.30
2864,,CMi,07,29,47.7,+12,00,24,4.55
2874,,,07,29,51.4,-23,01,28,4.86
